"voteshare","margin"
"1",0,-100
"2",0,-100
"3",0,-100
"4",25.1144230365753,-100
"5",23.875193297863,-100
"6",26.7181247472763,-100
"7",26.2862056493759,-100
"8",0,-100
"9",34.071296453476,-100
"10",64.4710421562195,-100
"11",38.8552129268646,-100
"12",49.6182441711426,-100
"13",29.1177153587341,-100
"14",0,-100
"15",24.9587699770927,-100
"16",22.5494831800461,-100
"17",69.1140830516815,-100
"18",54.0138781070709,-100
"19",0,-100
"20",0,-100
"21",0,-100
"22",27.7632087469101,-100
"23",35.883441567421,-100
"24",28.2759636640549,-100
"25",36.2713605165482,-100
"26",26.6261607408524,-100
"27",23.300589621067,-100
"28",30.3370624780655,-100
"29",31.5638273954391,-100
"30",36.2078100442886,-100
"31",23.8838911056519,-100
"32",26.1231988668442,-100
"33",26.3618946075439,-100
"34",26.0719746351242,-100
"35",52.9443621635437,-100
"36",23.9089697599411,-100
"37",25.4997164011002,-100
"38",37.7110749483109,-100
"39",37.3523145914078,-100
"40",41.8247520923615,-100
"41",26.4269143342972,-100
"42",0,-100
"43",0,-100
"44",0,-100
"45",0,-100
"46",49.4832903146744,-100
"47",30.8024972677231,-100
"48",39.3017113208771,-100
"49",0,-100
"50",30.8520257472992,-100
"51",0,-100
"52",41.8060570955276,-100
"53",39.9689167737961,-100
"54",38.3278906345367,-100
"55",32.8188478946686,-100
"56",32.8393816947937,-100
"57",32.5215399265289,-100
"58",31.3391387462616,-100
"59",45.7662224769592,-100
"60",0,-100
"61",25.2482295036316,-100
"62",26.0800659656525,-100
"63",25.3877818584442,-100
"64",33.363065123558,-100
"65",30.2922755479813,-100
"66",0,-100
"67",18.0453717708588,-100
"68",14.880932867527,-100
"69",49.1820812225342,-100
"70",0,-100
"71",19.626484811306,-100
"72",0,-100
"73",0,-100
"74",21.7739269137383,-100
"75",0,-100
"76",31.1220169067383,-100
"77",98.3822107315063,-100
"78",27.6942729949951,-100
"79",28.5860329866409,-100
"80",28.0646950006485,-100
"81",0,-100
"82",0,-100
"83",0,-100
"84",60.9531104564667,-100
"85",100,-100
"86",0,-100
"87",0,-100
"88",0,-100
"89",83.7315320968628,-100
"90",0,-100
"91",62.0126187801361,-100
"92",56.4675867557526,-100
"93",0,-100
"94",0,-100
"95",74.2212295532227,-100
"96",24.3742167949677,-100
"97",72.2676575183868,-100
"98",32.1506857872009,-99.9988913536072
"99",35.4249507188797,-99.9659955501556
"100",35.6009066104889,-99.9397754669189
"101",41.8950736522675,-99.8920440673828
"102",38.2902532815933,-99.6650815010071
"103",48.9811956882477,-99.3808686733246
"104",29.1885733604431,-98.141884803772
"105",25.7532149553299,-96.6810762882233
"106",28.9952665567398,-96.4695513248444
"107",0,-96.4442908763885
"108",18.4478029608727,-94.8356807231903
